Time Sent,Sender,Message Contents
2025-02-17 21:38:44,Bot,Reminder: Keep practicing your listening skills today!
2025-02-18 18:15:40,Bot,Reminder: Keep practicing your listening skills today!
2025-02-19 19:08:28,Bot,Reminder: Keep practicing your listening skills today!
2025-02-20 17:03:01,Bot,Reminder: Keep practicing your listening skills today!
2025-02-21 05:55:59,Bot,Reminder: Keep practicing your listening skills today!
2025-02-22 19:56:22,Bot,Reminder: Keep practicing your listening skills today!
2025-02-23 10:45:36,Bot,Reminder: Keep practicing your listening skills today!
2025-02-24 22:28:08,Bot,Reminder: Keep practicing your listening skills today!
2025-02-24 22:28:08,Bot,It's time for your mid-assessment. Let's see how you've progressed so far!
2025-02-25 09:18:00,Bot,Reminder: Keep practicing your listening skills today!
2025-02-26 16:02:39,Bot,Reminder: Keep practicing your listening skills today!
2025-02-27 07:36:03,Bot,Reminder: Keep practicing your listening skills today!
2025-02-28 13:59:15,Bot,Reminder: Keep practicing your listening skills today!
2025-03-01 12:54:16,Bot,Reminder: Keep practicing your listening skills today!
2025-03-02 08:55:44,Bot,Reminder: Keep practicing your listening skills today!
2025-03-03 19:47:05,Bot,Reminder: Keep practicing your listening skills today!
2025-03-03 19:47:05,Bot,Final assessment time! Let's evaluate your listening skills.
